time,timestep,iteration,converged,density_error
0.0915094,0.00069766,2,1,0.000225707
0.0919811,0.000699056,2,1,0.000231966
0.0924528,0.000700454,2,1,0.000237983
0.0929245,0.000701855,2,1,0.000263259
0.0933962,0.000703258,2,1,0.000296985
0.0938679,0.000704665,2,1,0.00031754
0.0943396,0.000706074,2,1,0.00033269
0.0948113,0.000707486,2,1,0.000344593
0.095283,0.000708901,2,1,0.000358877
0.0957547,0.000710319,2,1,0.000372468
0.0962264,0.00071174,2,1,0.000376139
0.0966981,0.000713163,2,1,0.000397744
0.0971698,0.00071459,2,1,0.000415986
0.0976415,0.000716019,2,1,0.000404832
0.0981132,0.000717451,2,1,0.000406233
0.0985849,0.000718886,2,1,0.000391445
0.0990566,0.000720324,2,1,0.000371736
0.0995283,0.000721764,2,1,0.00038706
0.1,0.000723208,2,1,0.000397759
0.100472,0.000724654,2,1,0.000408748
0.100943,0.000726103,2,1,0.00041294
0.101415,0.000727556,2,1,0.000405394
0.101887,0.000729011,2,1,0.000422275
0.102358,0.000730469,2,1,0.000424755
0.10283,0.00073193,2,1,0.000456388
0.103302,0.000733394,2,1,0.000495469
0.103774,0.00073486,2,1,0.000507181
0.104245,0.00073633,2,1,0.000534878
0.104717,0.000737803,2,1,0.000586848
0.105189,0.000739278,2,1,0.000587376
0.10566,0.000740757,2,1,0.000612558
0.106132,0.000742238,2,1,0.000599976
0.106604,0.000743723,2,1,0.000589478
0.107075,0.00074521,2,1,0.000606864
0.107547,0.000746701,2,1,0.000623994
0.108019,0.000748194,2,1,0.000600496
0.108491,0.000749691,2,1,0.000596589
0.108962,0.00075119,2,1,0.000600311
0.109434,0.000752692,2,1,0.000629494
0.109906,0.000754198,2,1,0.000637805
0.110377,0.000755706,2,1,0.00066059
0.110849,0.000757218,2,1,0.000694598
0.111321,0.000758732,2,1,0.000743611
0.111792,0.000760249,2,1,0.000771947
0.112264,0.00076177,2,1,0.000812179
0.112736,0.000763293,2,1,0.000840167
0.113208,0.00076482,2,1,0.000855073
0.113679,0.00076635,2,1,0.000842686
0.114151,0.000767882,2,1,0.000839902
0.114623,0.000769418,2,1,0.000853246
0.115094,0.000770957,2,1,0.000864878
0.115566,0.000772499,2,1,0.000866015
0.116038,0.000774044,2,1,0.000842332
0.116509,0.000775592,2,1,0.000840768
0.116981,0.000777143,2,1,0.000827351
0.117453,0.000778697,2,1,0.000802655
0.117925,0.000780255,2,1,0.000772283
